disease_id,disease
DIS_0001,ACL injury
DIS_0002,ARDS
DIS_0003,Abdominal aortic aneurysm
DIS_0005,Achalasia
DIS_0007,Achilles tendon rupture
DIS_0008,Acoustic neuroma (vestibular schwannoma)
DIS_0009,Acromegaly
DIS_0011,Acute coronary syndrome
DIS_0013,Acute kidney injury
DIS_0014,Acute liver failure
DIS_0015,Acute lymphocytic leukemia
DIS_0016,Acute myelogenous leukemia
DIS_0017,Acute sinusitis
DIS_0018,Addison's disease
DIS_0019,Adnexal tumors and masses
DIS_0020,Adrenal cancer
DIS_0021,Adult Still disease
DIS_0022,Adult attention-deficit/hyperactivity disorder (ADHD)
DIS_0023,Agoraphobia
DIS_0025,Albinism
DIS_0027,Alcohol poisoning
DIS_0028,Alcohol use disorder
DIS_0029,Alcoholic hepatitis (Alcohol-associated hepatitis)
DIS_0030,Allergies
DIS_0032,Alpha-gal syndrome
DIS_0034,Amenorrhea
DIS_0035,Amnesia
DIS_0036,Ampullary cancer
DIS_0037,Amyotrophic lateral sclerosis (ALS)
DIS_0038,Anal cancer
DIS_0039,Anal fissure
DIS_0040,Anal fistula
DIS_0043,Angelman syndrome
DIS_0046,Anorgasmia in women
DIS_0047,Anterior vaginal prolapse (cystocele)
DIS_0048,Antisocial personality disorder
DIS_0049,Anxiety disorders
DIS_0051,Aortic valve disease
DIS_0052,Aortic valve regurgitation
DIS_0053,Aortic valve stenosis
DIS_0056,Appendicitis
DIS_0057,Arteriosclerosis / atherosclerosis
DIS_0058,Arteriovenous malformation
DIS_0059,Arthritis
DIS_0060,Asthma
DIS_0061,Asthma attack
DIS_0064,Ataxia
DIS_0065,Atelectasis
DIS_0066,Atrial fibrillation
DIS_0067,Atrial flutter
DIS_0068,Atrial septal defect (ASD)
DIS_0069,Atrial tachycardia
DIS_0071,Atrioventricular nodal reentry tachycardia (AVNRT)
DIS_0073,Atypical genitalia
DIS_0075,Atypical teratoid rhabdoid tumor (ATRT)
DIS_0076,Auditory processing disorder (APD)
DIS_0077,Autoimmune encephalitis
DIS_0078,Autoimmune hepatitis
DIS_0079,Autoimmune pancreatitis
DIS_0082,B-cell lymphoma
DIS_0083,Back pain
DIS_0086,Balance problems
DIS_0087,Bardet-Biedl syndrome (BBS)
DIS_0088,Barrett's esophagus
DIS_0092,Bee sting
DIS_0093,Behcet disease
DIS_0094,Benign adrenal tumors
DIS_0095,Benign paroxysmal positional vertigo (BPPV)
DIS_0096,Benign peripheral nerve tumor
DIS_0099,Biliary atresia
DIS_0100,Binge-eating disorder
DIS_0101,Bipolar disorder
DIS_0102,Bird flu (avian influenza)
DIS_0104,Bladder cancer
DIS_0105,Bladder exstrophy
DIS_0111,Body dysmorphic disorder
DIS_0112,Bone cancer
DIS_0113,Borderline personality disorder
DIS_0114,Bradycardia
DIS_0115,Brain AVM (arteriovenous malformation)
DIS_0116,Brain aneurysm
DIS_0117,Brain metastases
DIS_0118,Brain tumor
DIS_0119,Breast cysts
DIS_0120,Breast pain
DIS_0122,Broken arm
DIS_0123,Broken collarbone
DIS_0124,Broken foot
DIS_0126,Broken heart syndrome
DIS_0127,Broken leg
DIS_0129,Broken ribs
DIS_0130,Broken toe
DIS_0131,Broken wrist
DIS_0132,Bronchiolitis
DIS_0133,Bronchitis
DIS_0135,Buerger disease
DIS_0136,Bulimia nervosa
DIS_0137,Bullous pemphigoid
DIS_0140,Burkitt lymphoma
DIS_0141,Burning mouth syndrome
DIS_0142,Bursitis
DIS_0144,COPD
DIS_0147,Cancer
DIS_0148,Canker sore
DIS_0149,Carbon monoxide poisoning
DIS_0152,Carcinoma of unknown primary
DIS_0154,Cardiomyopathy
DIS_0155,Carotid artery disease
DIS_0156,Carpal tunnel syndrome
DIS_0157,Cataracts
DIS_0159,Cavities and tooth decay
DIS_0160,Celiac disease
DIS_0163,Central nervous system vascular malformations
DIS_0164,Central sleep apnea
DIS_0165,Cerebral palsy
DIS_0169,Chemo brain
DIS_0170,Chest pain
DIS_0171,Chickenpox
DIS_0172,Chilblains
DIS_0176,Childhood obesity
DIS_0177,Childhood schizophrenia
DIS_0178,Chlamydia trachomatis
DIS_0179,Cholangiocarcinoma (bile duct cancer)
DIS_0180,Cholecystitis
DIS_0181,Cholestasis of pregnancy
DIS_0182,Chondrosarcoma
DIS_0183,Chordoma
DIS_0184,Choroid plexus carcinoma
DIS_0185,Chronic cough
DIS_0186,Chronic daily headaches
DIS_0188,Chronic granulomatous disease
DIS_0189,Chronic hives
DIS_0190,Chronic kidney disease
DIS_0191,Chronic lymphocytic leukemia
DIS_0192,Chronic myelogenous leukemia
DIS_0193,Chronic pelvic pain
DIS_0194,Chronic sinusitis
DIS_0195,Cirrhosis
DIS_0197,Cleft lip and cleft palate
DIS_0198,Clubfoot
DIS_0199,Coarctation of the aorta
DIS_0200,Cold sore
DIS_0203,Colon cancer
DIS_0204,Colon polyps
DIS_0205,Coma
DIS_0206,Common cold
DIS_0208,Common variable immunodeficiency
DIS_0210,Complicated grief
DIS_0211,Compulsive sexual behavior
DIS_0212,Concussion
DIS_0214,Congenital diaphragmatic hernia (CDH)
DIS_0215,Congenital heart defects in children
DIS_0216,Congenital heart disease in adults
DIS_0217,Congenital myasthenic syndromes
DIS_0218,Constipation
DIS_0220,Coronary artery disease
DIS_0221,Coronavirus disease 2019 (COVID-19)
DIS_0225,Cradle cap
DIS_0226,Craniopharyngioma
DIS_0227,Craniosynostosis
DIS_0229,Cutaneous T-cell lymphoma
DIS_0232,Cystic fibrosis
DIS_0233,Cystitis
DIS_0236,De Quervain tenosynovitis
DIS_0239,Delayed sleep phase
DIS_0240,Delirium
DIS_0241,Dengue fever
DIS_0243,Depression (major depressive disorder)
DIS_0247,Desmoid tumors
DIS_0248,Desmoplastic small round cell tumors
DIS_0250,DiGeorge syndrome (22q11.2 deletion syndrome)
DIS_0252,Diabetes insipidus
DIS_0255,Diabetic nephropathy (kidney disease)
DIS_0258,Diarrhea
DIS_0259,Diffuse large B-cell lymphoma
DIS_0260,Diffuse midline glioma (DMG)
DIS_0262,Dissociative disorders
DIS_0263,Diverticulitis
DIS_0264,Dizziness
DIS_0265,Down syndrome
DIS_0266,Dressler syndrome
DIS_0268,Drug allergy
DIS_0270,Dry macular degeneration
DIS_0272,Dry skin
DIS_0273,Dry socket
DIS_0274,Ductal carcinoma in situ (DCIS)
DIS_0276,Dupuytren contracture
DIS_0277,Dysarthria
DIS_0279,Dysphagia
DIS_0280,Dystonia
DIS_0281,E. coli
DIS_0283,Eating disorders
DIS_0285,Ectropion
DIS_0287,Ehlers-Danlos syndrome
DIS_0288,Ehrlichiosis and anaplasmosis
DIS_0289,Eisenmenger syndrome
DIS_0290,Embryonal tumors
DIS_0291,Emphysema
DIS_0292,Encephalitis
DIS_0294,End-stage renal disease
DIS_0296,Endometrial cancer
DIS_0297,Endometriosis
DIS_0298,Enlarged breasts in men (gynecomastia)
DIS_0300,Entropion
DIS_0301,Eosinophilic esophagitis
DIS_0302,Ependymoma
DIS_0303,Epidermoid cysts
DIS_0304,Epidermolysis bullosa
DIS_0305,Epilepsy
DIS_0306,Epithelioid sarcoma
DIS_0307,Esophageal cancer
DIS_0308,Esophageal varices
DIS_0309,Esophagitis
DIS_0310,Essential tremor
DIS_0311,Esthesioneuroblastoma
DIS_0312,Ewing sarcoma
DIS_0315,Eye melanoma
DIS_0316,Eyestrain
DIS_0318,Familial adenomatous polyposis
DIS_0320,Farsightedness
DIS_0322,Female sexual dysfunction
DIS_0326,Fibrocystic breasts
DIS_0327,Fibromuscular dysplasia
DIS_0329,Floor of the mouth cancer
DIS_0330,Focal segmental glomerulosclerosis (FSGS)
DIS_0331,Follicular lymphoma
DIS_0333,Food allergy
DIS_0334,Foot drop
DIS_0336,Frontotemporal dementia
DIS_0337,Frostbite
DIS_0338,Fuchs dystrophy
DIS_0339,Functional dyspepsia
DIS_0341,Galactorrhea
DIS_0342,Gallbladder cancer
DIS_0343,Ganglion cyst
DIS_0346,Gastritis
DIS_0347,Gastroesophageal reflux disease (GERD)
DIS_0348,Gastrointestinal bleeding
DIS_0349,Gastrointestinal stromal tumor (GIST)
DIS_0350,Gastroparesis
DIS_0351,Gender dysphoria
DIS_0352,Generalized anxiety disorder
DIS_0353,Geographic atrophy
DIS_0354,Geographic tongue
DIS_0355,Germ cell tumors
DIS_0359,Glaucoma
DIS_0360,Glioblastoma
DIS_0361,Glioma
DIS_0362,Glomerulonephritis
DIS_0364,Granuloma annulare
DIS_0365,Granulomatosis with polyangiitis
DIS_0367,Growth plate fractures
DIS_0368,Guillain-Barre syndrome
DIS_0369,H1N1 flu (swine flu)
DIS_0372,Hammertoe and mallet toe
DIS_0374,Hangovers
DIS_0377,Hay fever
DIS_0378,Head and neck cancers
DIS_0381,Hearing loss
DIS_0382,Heart arrhythmia
DIS_0386,Heart valve disease
DIS_0388,Heat exhaustion
DIS_0390,Heatstroke
DIS_0393,Hemangioma
DIS_0394,Hemifacial spasm
DIS_0395,Hemochromatosis
DIS_0396,Hemolytic uremic syndrome (HUS)
DIS_0397,Hemophilia
DIS_0399,Hepatic encephalopathy
DIS_0400,Hepatitis A
DIS_0401,Hepatitis B
DIS_0402,Hepatocellular carcinoma (HCC)
DIS_0403,Hepatopulmonary syndrome
DIS_0404,Hereditary hemorrhagic telangiectasia
DIS_0405,Herniated disk
