symptom_id,canonical,surface_form
SX_e3e6ed78ca,dysphagia,dysphagia
SX_17436dd00c,back pain,painful stiffness all day long
SX_17436dd00c,back pain,tender area on spine
SX_17436dd00c,back pain,aching muscles feel tight
SX_17436dd00c,back pain,aching vertebrae feel worn
SX_17436dd00c,back pain,pain spreads across middle
SX_17436dd00c,back pain,painful sensation on either
SX_49ea6d26c6,coughing,coughing
SX_87a429872c,pain,aching sensation in my body
SX_87a429872c,pain,aching tenderness on my face
SX_87a429872c,pain,shooting pain through my side
SX_87a429872c,pain,constant aching all the time
SX_87a429872c,pain,sharp stabbing feeling there
SX_5a9f8fa2af,aortic aneurysm,bulge in aortic wall
SX_5a9f8fa2af,aortic aneurysm,enlarged section of aorta
SX_5a9f8fa2af,aortic aneurysm,aortic diameter increased size
SX_5a9f8fa2af,aortic aneurysm,aorta has ballooned part
SX_5a9f8fa2af,aortic aneurysm,abnormal aortic growth detected
SX_5a9f8fa2af,aortic aneurysm,aortic vessel expanded space
SX_27a0380f35,chest pain,chest discomfort feels tight
SX_27a0380f35,chest pain,sharp sensation in chest area
SX_27a0380f35,chest pain,painful pressure on chest wall
SX_27a0380f35,chest pain,aching feeling in chest zone
SX_27a0380f35,chest pain,tension in chest muscles felt
SX_27a0380f35,chest pain,soreness in chest region now
SX_084f5a8a34,pneumonia,inflammation of lung tissue
SX_084f5a8a34,pneumonia,lung infection with pus formation
SX_084f5a8a34,pneumonia,bacterial growth in lung airspaces
SX_084f5a8a34,pneumonia,inflammatory response in lungs
SX_084f5a8a34,pneumonia,infection of lung alveoli spaces
SX_084f5a8a34,pneumonia,infectious process in lung tissue
SX_94b2b09c91,heartburn,burning sensation in chest area
SX_94b2b09c91,heartburn,painful burning in chest zone
SX_94b2b09c91,heartburn,burning sensation in upper body
SX_94b2b09c91,heartburn,sharp stinging in chest region
SX_94b2b09c91,heartburn,stinging discomfort in chest region
SX_94b2b09c91,heartburn,sharp stinging in chest cavity
SX_7ed7266d85,vomiting,stuff leaving my stomach suddenly
SX_7ed7266d85,vomiting,gagging up food and drink
SX_7ed7266d85,vomiting,stomach contents being thrown up
SX_7ed7266d85,vomiting,gagging up what i ate
SX_7ed7266d85,vomiting,i throw up my lunch
SX_7ed7266d85,vomiting,my insides purge suddenly
SX_450e166c06,acne,pimples appear on my skin surface
SX_450e166c06,acne,inflamed pores on my face show
SX_450e166c06,acne,pimples and blackheads are present
SX_450e166c06,acne,pimples on skin are noticeable
SX_450e166c06,acne,red blemishes on face occur
SX_983737ad87,tendon rupture,tendon tears suddenly and completely apart
SX_983737ad87,tendon rupture,tendon breaks without warning or reason
SX_983737ad87,tendon rupture,tendon splits into two parts
SX_983737ad87,tendon rupture,tendon separates from bone quickly
SX_983737ad87,tendon rupture,tendon disintegrates rapidly and fully
SX_983737ad87,tendon rupture,tendon comes undone swiftly now
SX_447f6a81cb,neuroma,excessive nerve cell growth
SX_447f6a81cb,neuroma,nerve tissue abnormality found
SX_447f6a81cb,neuroma,nerve tissue excess present
SX_447f6a81cb,neuroma,abnormal nerve structure formed
SX_447f6a81cb,neuroma,abnormal nerve growth observed
SX_447f6a81cb,neuroma,abnormal nerve tissue formation
SX_87027ae853,neck pain,aching in the back of neck
SX_87027ae853,neck pain,painful sensation in my neck
SX_87027ae853,neck pain,sharp pain up high
SX_87027ae853,neck pain,tension in the neck area
SX_87027ae853,neck pain,aching muscles in the neck
SX_87027ae853,neck pain,tender skin on neck
SX_6e0d7bee27,numbness,feeling of lack of sensation
SX_6e0d7bee27,numbness,loss of feeling in skin
SX_6e0d7bee27,numbness,sensation absent from area
SX_6e0d7bee27,numbness,no feeling in affected part
SX_6e0d7bee27,numbness,pain is not felt fully
SX_6e0d7bee27,numbness,feeling of reduced sensation
SX_0171fbf1a4,weakness,here is a lack of strength
SX_0171fbf1a4,weakness,a small amount of strength
SX_0171fbf1a4,weakness,slight lack of robustness
SX_0171fbf1a4,weakness,inadequate physical ability now
SX_0171fbf1a4,weakness,minimal physical strength shown
SX_0171fbf1a4,weakness,strength is not fully there
SX_891f3b3c56,tinnitus,sound like a ringing bell
SX_891f3b3c56,tinnitus,persistent buzzing in my ear
SX_891f3b3c56,tinnitus,constant whirring in my ears
SX_891f3b3c56,tinnitus,ringing tone in my mind
SX_891f3b3c56,tinnitus,constant buzzing in my ears
SX_171de3b8a3,dyspnea,breathlessness is constant issue
SX_2a8ca4f282,indigestion,unpleasant feeling in my gut
SX_2a8ca4f282,indigestion,uneasy feeling in my stomach
